login_frequency,feature_usage_count,support_ticket_volume,payment_amount,account_age,churned
2.0,1.0,3.0,29.85,30,0
7.0,3.0,4.0,56.95,1020,0
7.0,3.0,2.0,53.85,60,1
6.0,3.0,0.0,42.3,1350,0
2.0,1.0,6.0,70.7,60,1
14.0,5.0,5.0,99.65,240,1
10.0,4.0,3.0,89.1,660,0
6.0,1.0,2.0,29.75,300,0
13.0,6.0,1.0,104.8,840,1
7.0,3.0,3.0,56.15,1860,0
5.0,2.0,2.0,49.95,390,0
8.0,1.0,1.0,18.95,480,0
12.0,5.0,3.0,100.35,1740,0
14.0,6.0,3.0,103.7,1470,1
15.0,6.0,2.0,105.5,750,0
22.0,8.0,1.0,113.25,2070,0
6.0,1.0,1.0,20.65,1560,0
14.0,6.0,3.0,106.7,2130,0
7.0,3.0,1.0,55.2,300,1
10.0,4.0,3.0,90.05,630,0
6.0,2.0,5.0,39.65,30,1
3.0,1.0,0.0,19.8,360,0
2.0,1.0,1.0,20.15,30,1
8.0,4.0,0.0,59.9,1740,0
9.0,4.0,1.0,59.6,1470,0
8.0,3.0,3.0,55.3,900,0
14.0,5.0,4.0,99.35,1410,1
2.0,1.0,3.0,30.2,30,1
20.0,8.0,0.0,90.25,2160,0
11.0,3.0,7.0,64.7,510,1
14.0,6.0,1.0,96.35,2130,0
9.0,4.0,3.0,95.5,60,0
12.0,5.0,0.0,66.15,810,0
3.0,1.0,0.0,20.2,30,0
3.0,1.0,3.0,45.25,30,0
14.0,6.0,2.0,99.9,2160,0
2.0,1.0,3.0,69.7,150,1
4.0,2.0,4.0,74.8,1380,0
15.0,6.0,4.0,106.35,1020,1
12.0,5.0,5.0,97.85,330,1
6.0,2.0,2.0,49.55,300,0
10.0,5.0,5.0,69.2,2100,0
3.0,1.0,0.0,20.75,510,0
14.0,7.0,0.0,79.85,1890,0
13.0,6.0,0.0,76.2,390,0
6.0,3.0,5.0,84.5,1470,0
6.0,2.0,2.0,49.25,60,0
7.0,2.0,3.0,80.65,60,1
14.0,6.0,0.0,79.75,1560,0
15.0,5.0,3.0,64.15,2070,0
12.0,4.0,3.0,90.25,1290,0
12.0,5.0,5.0,99.1,450,1
11.0,5.0,2.0,69.5,750,0
8.0,3.0,4.0,80.65,240,1
13.0,6.0,0.0,74.85,1800,0
10.0,4.0,3.0,95.45,540,1
13.0,5.0,4.0,99.65,1890,0
16.0,7.0,3.0,108.45,1980,0
4.0,2.0,1.0,24.95,1020,0
15.0,6.0,1.0,107.5,2160,0
17.0,5.0,3.0,100.5,1410,0
